"CODE","NAME","DATE","mean","median","sd","min","max"
290150,"Anguera","2016-10-31",0.185,0.156,0.0848,0.068,0.632
290160,"Antas","2016-10-31",0.1655,0.156,0.0551,0.06,0.396
290170,"Antônio Cardoso","2016-10-31",0.2605,0.26,0.0624,0.072,0.508
290180,"Antônio Gonçalves","2016-10-31",0.3168,0.268,0.1639,0.056,0.908
290190,"Aporá","2016-10-31",0.2974,0.296,0.0931,0.096,0.672
290195,"Apuarema","2016-10-31",0.6682,0.678,0.1352,0,0.936
290200,"Aracatu","2016-10-31",0.2017,0.18,0.0987,0.028,0.796
290205,"Araças","2016-10-31",0.5776,0.556,0.1199,0,0.884
290210,"Araci","2016-10-31",0.1328,0.116,0.0629,0.032,0.528
290220,"Aramari","2016-10-31",0.3944,0.388,0.1037,0.172,0.764
290225,"Arataca","2016-10-31",0.7993,0.9,0.2104,0,0.952
290230,"Aratuípe","2016-10-31",0.6522,0.672,0.1318,0,0.92
290240,"Aurelino Leal","2016-10-31",0.7209,0.718,0.1729,0,1
290250,"Baianópolis","2016-10-31",0.4096,0.42,0.1146,0.036,0.8
290260,"Baixa Grande","2016-10-31",0.3473,0.336,0.0993,0.128,0.72
290265,"Banzaê","2016-10-31",0.2185,0.216,0.0479,0.108,0.356
290270,"Barra","2016-10-31",0.3169,0.312,0.1025,0,0.76
290280,"Barra da Estiva","2016-10-31",0.3669,0.368,0.1483,0.04,0.864
290290,"Barra do Choça","2016-10-31",0.545,0.552,0.1516,0.088,0.908
290300,"Barra do Mendes","2016-10-31",0.3672,0.384,0.1147,0.088,0.688
290310,"Barra do Rocha","2016-10-31",0.7678,0.816,0.1861,0,0.98
290320,"Barreiras","2016-10-31",0.3809,0.396,0.1629,0.012,0.916
290323,"Barro Alto","2016-10-31",0.2261,0.184,0.1262,0.032,0.56
290327,"Barrocas","2016-10-31",0.1691,0.16,0.0624,0.052,0.42
290330,"Barro Preto","2016-10-31",0.8795,0.916,0.149,0,0.996
